,Property_name,Location,Rating,Review,Type_of_stay,Stay_duration_and_group_size,price,Taxes_and_charges_inr
113,"Fortune Home Service Apartment 3Bhk,E-28, Saket 2B","Saket, New Delhi",8.0,,1×Three-Bedroom Superior ApartmentEntire apartment•3 bedrooms•1 living room•2 bathrooms•1 kitchen•300m²3 extra-large double bedsFree cancellation,"5 nights, 9 adults, 1 child","₹81,596","25,596"
114,Safdarjung Enclave,"Safdarjung Enclave, New Delhi",8.5,Very good,"1×Safdarjung Enclave-3BHK apartment with WiFiEntire apartment•3 bedrooms•1 living room•3 bathrooms•1 kitchen•195m²4 beds (3 doubles, 1 sofa bed)","5 nights, 9 adults, 1 child","₹135,232","24,342"
115,Olive Service Apartments Saket,"Saket, New Delhi",,,,"5 nights, 9 adults, 1 child","₹174,398","31,392"
116,The Grand New Delhi,New Delhi,6.8,Review score,4×Studio Apartment4 extra-large double bedsFree cancellation,"5 nights, 9 adults, 1 child","₹357,300","64,314"
117,Hotel Atlantis Continental,"Paharganj, New Delhi",8.3,Very good,5×Deluxe Studio5 entire studios•5 bathrooms5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹64,984","7,798"
118,"Mehul- A, Luxurious Stay 5 Mint From Railway Station New Delhi","Paharganj, New Delhi",9.7,Exceptional,5×Boutique Room _Non View5 entire studios•5 bathrooms5 extra-large double beds • Free cot always availableFree cancellationNo prepayment needed– pay at the property,"5 nights, 9 adults, 1 child","₹117,475","14,097"
119,Olive Serviced Apartments - New Friends Colony,"New Friends Colony, New Delhi",8.9,Fabulous,1×Standard StudioEntire studio•1 bathroom•45m²1 large double bed,"5 nights, 9 adults, 1 child","₹207,776","37,400"
120,Homlee-Gokul 3BHK Flat-Lift-Parking-vaishali metro,Ghaziabad,,Exceptional,,"5 nights, 9 adults, 1 child","₹38,500","7,829"
121,Homlee-Vasundhara 3BHK Flat- kitchen-Parking-Lift,Ghaziabad,9.2,Superb,,"5 nights, 9 adults, 1 child","₹36,000","5,319"
122,"Hostie Asita - Studio Apartments with Pvt Kitchenette, Noida",Noida,8.8,Fabulous,1×Studio with BalconyEntire studio•1 bathroom•56m²1 extra-large double bed,"5 nights, 9 adults, 1 child","₹84,000","17,580"
123,Lime Tree Hotel & One Bed Room Serviced Apartment - Noida Sector 50 Metro with Party Venue,Noida,9.2,Superb,"3×One-Bedroom Apartment3 entire apartments•3 bedrooms•3 living rooms•3 bathrooms•3 kitchens6 beds (3 doubles, 3 sofa beds)Free cancellationNo prepayment needed– pay at the property","5 nights, 9 adults, 1 child","₹85,050","10,206"
124,StayVista at Cloudberry Estate - Pet Freindly Villa with Private Outdoor Pool & Lawn,Faridabad,7.0,Good,,"5 nights, 9 adults, 1 child","₹165,225","29,741"
125,StayVista at Verdant Acres - Guest Favourite,Agra,8.2,Very good,,"5 nights, 9 adults, 1 child","₹139,391","25,090"
126,Taj Castle Homestay,"Rakabganj, Agra",,,,"5 nights, 9 adults, 1 child","₹90,000","16,200"
127,Maharaja Homestay,Agra,8.8,Fabulous,"1×Three-Bedroom Deluxe ApartmentEntire apartment•3 bedrooms•1 living room•3 bathrooms4 beds (3 extra-large doubles, 1 sofa bed)Free cancellation","5 nights, 9 adults, 1 child","₹49,500","5,940"
128,Max Guest House,"Taj Ganj, Agra",9.1,,1×Superior Double RoomMultiple bed typesFree cancellation,"5 nights, 9 adults, 1 child","₹28,050","3,366"
129,The Orchid Retreat,Agra,9.4,Superb,4×Double Room with Garden View4 extra-large double beds,"5 nights, 9 adults, 1 child","₹30,780","3,694"
130,Dá Bungalow - A Vacation Abode,Agra,9.6,Exceptional,"3×Deluxe Triple Room6 beds (3 singles, 3 large doubles)Free cancellationNo prepayment needed– pay at the property","5 nights, 9 adults, 1 child","₹75,000","9,000"
